name,tab,game_id,region,challenge
Minecraft,story,root,Overworld,
Stone Age,story,mine_stone,Overworld,
Getting an Upgrade,story,upgrade_tools,Overworld,
Acquire Hardware,story,smelt_iron,Overworld,
Suit Up,story,obtain_armor,Overworld,
Hot Stuff,story,lava_bucket,Overworld,
Isn't It Iron Pick,story,iron_tools,Overworld,
Not Today Thank You,story,deflect_arrow,Overworld,
Ice Bucket Challenge,story,form_obsidian,Overworld,
Diamonds!,story,mine_diamond,Overworld,
We Need to Go Deeper,story,enter_the_nether,Nether,
Cover Me with Diamonds,story,shiny_gear,Overworld,
Enchanter,story,enchant_item,Overworld,
Zombie Doctor,story,cure_zombie_villager,Overworld,
Eye Spy,story,follow_ender_eye,Overworld,
The End?,story,enter_the_end,The End,
Nether,nether,root,Nether,
Return to Sender,nether,return_to_sender,Nether,
Those Were the Days,nether,find_bastion,Nether,
Hidden in the Depths,nether,obtain_ancient_debris,Nether,
Subspace Bubble,nether,fast_travel,Nether,
A Terrible Fortress,nether,find_fortress,Nether,
Who is Cutting Onions?,nether,obtain_crying_obsidian,Nether,
Oh Shiny,nether,distract_piglin,Nether,
This Boat Has Legs,nether,ride_strider,Nether,
Uneasy Alliance,nether,uneasy_alliance,Nether,
War Pigs,nether,loot_bastion,Nether,
Cover Me in Debris,nether,netherite_armor,Nether,
Spooky Scary Skeleton,nether,get_wither_skull,Nether,
Into Fire,nether,obtain_blaze_rod,Nether,
Not Quite Nine Lives,nether,charge_respawn_anchor,Nether,
Feels Like Home,nether,ride_strider_in_overworld_lava,Overworld,
Hot Tourist Destinations,nether,explore_nether,Nether,
Withering Heights,nether,summon_wither,Nether,
Local Brewery,nether,brew_potion,Nether,
Bring Home the Beacon,nether,create_beacon,Nether,
A Furious Cocktail,nether,all_potions,Nether,True
Beaconator,nether,create_full_beacon,Nether,
How Did We Get Here?,nether,all_effects,Nether,True
The End,end,root,The End,
Free the End,end,kill_dragon,The End,
The Next Generation,end,dragon_egg,The End,
Remote Getaway,end,enter_end_gateway,The End,
The End... Again...,end,respawn_dragon,The End,
You Need a Mint,end,dragon_breath,The End,
The City at the End of the Game,end,find_end_city,The End,
Sky's the Limit,end,elytra,The End,
Great View From Up Here,end,levitate,The End,
Adventure,adventure,root,Overworld,
Heart Transplanter,adventure,heart_transplanter,Overworld,
Voluntary Exile,adventure,voluntary_exile,Overworld,
Country Lode Take Me Home,adventure,use_lodestone,Overworld,
Is It a Bird?,adventure,spyglass_at_parrot,Overworld,
Monster Hunter,adventure,kill_a_mob,Overworld,
The Power of Books,adventure,read_power_of_chiseled_bookshelf,Overworld,
What a Deal!,adventure,trade,Overworld,
Crafting a New Look,adventure,trim_with_any_armor_pattern,Overworld,
Sticky Situation,adventure,honey_block_slide,Overworld,
Ol' Betsy,adventure,ol_betsy,Overworld,
