name,category,region,unlock_classification,breedable,tameable
Allay,passive,Overworld,filler,True,False
Armadillo,passive,Overworld,useful,True,False
Axolotl,passive,Overworld,useful,True,False
Bat,passive,Overworld,filler,False,False
Camel,passive,Overworld,useful,True,False
Camel Husk,passive,Overworld,filler,False,False
Cat,passive,Overworld,useful,True,True
Chicken,passive,Overworld,useful,True,False
Cod,passive,Overworld,useful,False,False
Copper Golem,passive,Overworld,filler,False,False
Cow,passive,Overworld,progression,True,False
Donkey,passive,Overworld,useful,True,True
Frog,passive,Overworld,useful,True,False
Glow Squid,passive,Overworld,filler,False,False
Happy Ghast,passive,Nether,filler,False,False
Horse,passive,Overworld,useful,True,True
Mooshroom,passive,Overworld,useful,True,False
Mule,passive,Overworld,useful,True,True
Ocelot,passive,Overworld,useful,True,False
Parrot,passive,Overworld,useful,False,True
Pig,passive,Overworld,useful,True,False
Rabbit,passive,Overworld,useful,True,False
Salmon,passive,Overworld,useful,False,False
Sheep,passive,Overworld,useful,True,False
Skeleton Horse,passive,Overworld,filler,False,False
Sniffer,passive,Overworld,useful,True,False
Snow Golem,passive,Overworld,filler,False,False
Squid,passive,Overworld,filler,False,False
Strider,passive,Nether,useful,True,False
Tadpole,passive,Overworld,useful,False,False
Tropical Fish,passive,Overworld,useful,False,False
Turtle,passive,Overworld,useful,True,False
Villager,passive,Overworld,progression,False,False
Wandering Trader,passive,Overworld,useful,False,False
Zombie Horse,passive,Overworld,filler,False,True
Bee,neutral,Overworld,useful,True,False
Cave Spider,neutral,Overworld,useful,False,False
Dolphin,neutral,Overworld,useful,False,False
Drowned,neutral,Overworld,useful,False,False
Enderman,neutral,The End,progression,False,False
Fox,neutral,Overworld,useful,True,False
Goat,neutral,Overworld,useful,True,False
Iron Golem,neutral,Overworld,useful,False,False
Llama,neutral,Overworld,useful,True,True
Nautilus,neutral,Overworld,filler,True,True
Panda,neutral,Overworld,useful,True,False
Piglin,neutral,Nether,progression,False,False
Polar Bear,neutral,Overworld,filler,False,False
Pufferfish,neutral,Overworld,useful,False,False
Spider,neutral,Overworld,useful,False,False
Trader Llama,neutral,Overworld,filler,False,True
Wolf,neutral,Overworld,useful,True,True
Zombie Nautilus,neutral,Overworld,filler,False,True
Zombified Piglin,neutral,Nether,useful,False,False
Blaze,hostile,Nether,progression,False,False
Bogged,hostile,Overworld,useful,False,False
Breeze,hostile,Overworld,useful,False,False
Creaking,hostile,Overworld,filler,False,False
Creeper,hostile,Overworld,useful,False,False
Elder Guardian,boss,Overworld,progression,False,False
Ender Dragon,boss,The End,progression,False,False
Endermite,hostile,The End,filler,False,False
Evoker,hostile,Overworld,useful,False,False
Ghast,hostile,Nether,useful,False,False
Guardian,hostile,Overworld,filler,False,False
Hoglin,hostile,Nether,useful,True,False
Husk,hostile,Overworld,useful,False,False
Magma Cube,hostile,Nether,useful,False,False
Parched,hostile,Overworld,filler,False,False
Phantom,hostile,Overworld,useful,False,False
Piglin Brute,hostile,Nether,useful,False,False
Pillager,hostile,Overworld,useful,False,False
Ravager,hostile,Overworld,useful,False,False
Shulker,hostile,The End,useful,False,False
Silverfish,hostile,Overworld,useful,False,False
Skeleton,hostile,Overworld,useful,False,False
Slime,hostile,Overworld,useful,False,False
Stray,hostile,Overworld,useful,False,False
Vex,hostile,Overworld,useful,False,False
Vindicator,hostile,Overworld,useful,False,False
Warden,boss,Overworld,progression,False,False
Witch,hostile,Overworld,useful,False,False
Wither,boss,Nether,progression,False,False
Wither Skeleton,hostile,Nether,progression,False,False
Zoglin,hostile,Nether,useful,False,False
Zombie,hostile,Overworld,useful,False,False
Zombie Villager,hostile,Overworld,useful,False,False
Baby Zombie,hostile,Overworld,useful,False,False
