name,classification,count
Progressive Villager Trust,progression,5
Dimension Unlock: Nether,progression,1
Dimension Unlock: The End,progression,1
Progressive Material Handling,progression,6
Knowledge: Sword Handling,progression,1
Knowledge: Spear Handling,progression,1
Knowledge: Shovel Handling,progression,1
Knowledge: Axe Handling,progression,1
Knowledge: Pickaxe Handling,progression,1
Knowledge: Fishing,progression,1
Knowledge: Hoe Handling,progression,1
Knowledge: Shear Handling,progression,1
Knowledge: Mace Handling,progression,1
Knowledge: Trident Handling,progression,1
Knowledge: Brush Handling,progression,1
Knowledge: Pyromaniac,progression,1
Knowledge: Shield Handling,progression,1
Knowledge: Armor Handling,progression,1
Knowledge: Brewing,progression,1
Knowledge: Enchanting,progression,1
Knowledge: Sharpshooter,progression,1
Knowledge: Flying,progression,1
32 Breads,filler,5
16 Beef,filler,3
8 Golden Carrot,filler,1
64 Torches,filler,2
2 Ender Pearls,filler,3
4 TNT,filler,2
32 Firework Rockets,filler,2
Name Tag,filler,3
64 Cooked Salmon,filler,1
Random Bullshit,filler,2
16 Ink Sacs,filler,8
A Map,filler,2
Trap: Primed TNT,trap,5
Trap: Aww Man !,trap,10
Trap: Inventory Shuffle,trap,5
Trap: Slippery Fingers,trap,8
"Trap: ""Dé à Coudre""",trap,2
"Trap: ""POV: Paris Games Week""",trap,4
Trap: Cursed Loot,trap,5
Dimension Unlock: Overworld,progression,1
Progressive Structure Finder,progression_skip_balancing,5
Biome Finder,useful,1
