name,category,region,unlock_classification,breedable,tameable
Allay,passive,Overworld,progression_skip_balancing,True,False
Armadillo,passive,Overworld,progression_skip_balancing,True,False
Axolotl,passive,Overworld,progression_skip_balancing,True,False
Bat,passive,Overworld,progression_skip_balancing,False,False
Camel,passive,Overworld,progression_skip_balancing,True,False
Camel Husk,passive,Overworld,progression_skip_balancing,False,False
Cat,passive,Overworld,progression_skip_balancing,True,True
Chicken,passive,Overworld,progression_skip_balancing,True,False
Cod,passive,Overworld,progression_skip_balancing,False,False
Copper Golem,passive,Overworld,progression_skip_balancing,False,False
Cow,passive,Overworld,progression,True,False
Donkey,passive,Overworld,progression_skip_balancing,True,True
Frog,passive,Overworld,progression_skip_balancing,True,False
Glow Squid,passive,Overworld,progression_skip_balancing,False,False
Happy Ghast,passive,Nether,progression_skip_balancing,False,False
Horse,passive,Overworld,progression_skip_balancing,True,True
Mooshroom,passive,Overworld,progression_skip_balancing,True,False
Mule,passive,Overworld,progression_skip_balancing,True,True
Ocelot,passive,Overworld,progression_skip_balancing,True,False
Parrot,passive,Overworld,progression_skip_balancing,False,True
Pig,passive,Overworld,progression_skip_balancing,True,False
Rabbit,passive,Overworld,progression_skip_balancing,True,False
Salmon,passive,Overworld,progression_skip_balancing,False,False
Sheep,passive,Overworld,progression_skip_balancing,True,False
Skeleton Horse,passive,Overworld,progression_skip_balancing,False,False
Sniffer,passive,Overworld,progression_skip_balancing,True,False
Snow Golem,passive,Overworld,progression_skip_balancing,False,False
Squid,passive,Overworld,progression_skip_balancing,False,False
Strider,passive,Nether,progression_skip_balancing,True,False
Tadpole,passive,Overworld,progression_skip_balancing,False,False
Tropical Fish,passive,Overworld,progression_skip_balancing,False,False
Turtle,passive,Overworld,progression,True,False
Villager,passive,Overworld,progression,False,False
Wandering Trader,passive,Overworld,progression_skip_balancing,False,False
Zombie Horse,passive,Overworld,progression_skip_balancing,False,True
Bee,neutral,Overworld,progression_skip_balancing,True,False
Cave Spider,neutral,Overworld,progression,False,False
Dolphin,neutral,Overworld,progression_skip_balancing,False,False
Drowned,neutral,Overworld,progression_skip_balancing,False,False
Enderman,neutral,Overworld,progression,False,False
Fox,neutral,Overworld,progression_skip_balancing,True,False
Goat,neutral,Overworld,progression_skip_balancing,True,False
Iron Golem,neutral,Overworld,progression_skip_balancing,False,False
Llama,neutral,Overworld,progression_skip_balancing,True,True
Nautilus,neutral,Overworld,progression_skip_balancing,False,False
Panda,neutral,Overworld,progression_skip_balancing,True,False
Piglin,neutral,Nether,progression,False,False
Polar Bear,neutral,Overworld,progression_skip_balancing,False,False
Pufferfish,neutral,Overworld,progression_skip_balancing,False,False
Spider,neutral,Overworld,progression,False,False
Trader Llama,neutral,Overworld,progression_skip_balancing,False,True
Wolf,neutral,Overworld,progression_skip_balancing,True,True
Zombie Nautilus,neutral,Overworld,progression_skip_balancing,False,True
Zombified Piglin,neutral,Nether,progression_skip_balancing,False,False
Blaze,hostile,Nether,progression,False,False
Bogged,hostile,Overworld,progression_skip_balancing,False,False
Breeze,hostile,Overworld,progression_skip_balancing,False,False
Creaking,hostile,Overworld,progression_skip_balancing,False,False
Creeper,hostile,Overworld,progression_skip_balancing,False,False
Elder Guardian,boss,Overworld,progression,False,False
Ender Dragon,boss,The End,progression,False,False
Endermite,hostile,The End,progression_skip_balancing,False,False
Evoker,hostile,Overworld,progression_skip_balancing,False,False
Ghast,hostile,Nether,progression,False,False
Guardian,hostile,Overworld,progression_skip_balancing,False,False
Hoglin,hostile,Nether,progression_skip_balancing,True,False
Husk,hostile,Overworld,progression_skip_balancing,False,False
Magma Cube,hostile,Nether,progression_skip_balancing,False,False
Parched,hostile,Overworld,progression_skip_balancing,False,False
Phantom,hostile,Overworld,progression,False,False
Piglin Brute,hostile,Nether,progression_skip_balancing,False,False
Pillager,hostile,Overworld,progression,False,False
Ravager,hostile,Overworld,progression_skip_balancing,False,False
Shulker,hostile,The End,progression_skip_balancing,False,False
Silverfish,hostile,Overworld,progression_skip_balancing,False,False
Skeleton,hostile,Overworld,progression_skip_balancing,False,False
Slime,hostile,Overworld,progression_skip_balancing,False,False
Stray,hostile,Overworld,progression_skip_balancing,False,False
Vex,hostile,Overworld,progression_skip_balancing,False,False
Vindicator,hostile,Overworld,progression_skip_balancing,False,False
Warden,boss,Overworld,progression,False,False
Witch,hostile,Overworld,progression,False,False
Wither,boss,Nether,progression,False,False
Wither Skeleton,hostile,Nether,progression,False,False
Zoglin,hostile,Nether,progression_skip_balancing,False,False
Zombie,hostile,Overworld,progression_skip_balancing,False,False
Zombie Villager,hostile,Overworld,progression_skip_balancing,False,False
