name,game_id,classification,region
Ancient City,ancient_city,progression_skip_balancing,Overworld
Bastion Remnant,bastion_remnant,progression,Nether
Buried Treasure,buried_treasure,progression_skip_balancing,Overworld
Desert Pyramid,desert_pyramid,progression_skip_balancing,Overworld
End City,end_city,progression,The End
Nether Fortress,fortress,progression,Nether
Igloo,igloo,progression_skip_balancing,Overworld
Jungle Pyramid,jungle_pyramid,progression_skip_balancing,Overworld
Mansion,mansion,progression,Overworld
Mineshaft,mineshaft,progression_skip_balancing,Overworld
Mineshaft (Mesa),mineshaft_mesa,progression_skip_balancing,Overworld
Ocean Monument,monument,progression,Overworld
Nether Fossil,nether_fossil,useful,Nether
Ocean Ruin (Cold),ocean_ruin_cold,progression_skip_balancing,Overworld
Ocean Ruin (Warm),ocean_ruin_warm,progression_skip_balancing,Overworld
Pillager Outpost,pillager_outpost,progression,Overworld
Ruined Portal,ruined_portal,progression_skip_balancing,Overworld
Ruined Portal (Desert),ruined_portal_desert,progression_skip_balancing,Overworld
Ruined Portal (Jungle),ruined_portal_jungle,progression_skip_balancing,Overworld
Ruined Portal (Mountain),ruined_portal_mountain,progression_skip_balancing,Overworld
Ruined Portal (Nether),ruined_portal_nether,progression_skip_balancing,Nether
Ruined Portal (Ocean),ruined_portal_ocean,progression_skip_balancing,Overworld
Ruined Portal (Swamp),ruined_portal_swamp,progression_skip_balancing,Overworld
Shipwreck,shipwreck,progression_skip_balancing,Overworld
Shipwreck (Beached),shipwreck_beached,progression_skip_balancing,Overworld
Stronghold,stronghold,progression,Overworld
Swamp Hut,swamp_hut,progression_skip_balancing,Overworld
Trail Ruins,trail_ruins,progression_skip_balancing,Overworld
Trial Chambers,trial_chambers,progression,Overworld
Village (Desert),village_desert,progression,Overworld
Village (Plains),village_plains,progression,Overworld
Village (Savanna),village_savanna,progression,Overworld
Village (Snowy),village_snowy,progression,Overworld
Village (Taiga),village_taiga,progression,Overworld
Dungeon,monster_room,progression_skip_balancing,Overworld
Desert Well,desert_well,progression_skip_balancing,Overworld
