name,category,classification,count
Sword Handling,tool,progression,1
Spear Handling,tool,progression,1
Shovel Handling,tool,progression,1
Axe Handling,tool,progression,1
Pickaxe Handling,tool,progression,1
Fishing,tool,progression,1
Hoe Handling,tool,progression,1
Shear Handling,tool,progression,1
Mace Handling,tool,progression,1
Trident Handling,tool,progression,1
Brush Handling,tool,progression,1
Sharpshooter,tool,progression,1
Pyromaniac,misc,progression,1
Flying,misc,progression,1
Shield Handling,armor,progression,1
Armor Handling,armor,progression,1
Brewing,station,progression,1
Enchanting,station,progression,1
